"Story","Title","Result","Date","Stability","Duration (s)"
"Calculator story","Addition","SUCCESS","2016-06-10T15:30:19.408+03:00","0.0","21.36"
"Animation directives","Hide square","SUCCESS","2016-06-10T15:31:42.199+03:00","0.0","33.77"
"Calculator story","Multiplication","SUCCESS","2016-06-10T15:30:40.818+03:00","0.0","8.76"
"Animation directives","Reverse array","PENDING","2016-06-10T15:32:15.969+03:00","0.0","4.12"
"Animation directives","Reverse array back","PENDING","2016-06-10T15:32:20.092+03:00","0.0","6.15"
"Animation directives","Reverse array three times","PENDING","2016-06-10T15:32:26.242+03:00","0.0","4.15"
"Animation directives","Show square","SUCCESS","2016-06-10T15:31:16.371+03:00","0.0","25.83"
"Adding items","add one item","SUCCESS","2016-06-10T15:30:52.934+03:00","0.0","14.95"
"Adding items","add two items","SUCCESS","2016-06-10T15:31:07.885+03:00","0.0","5.45"
"Removing items","remove last item","SUCCESS","2016-06-10T15:32:45.194+03:00","0.0","13.71"
"Removing items","remove one not last item","PENDING","2016-06-10T15:32:33.642+03:00","0.0","11.55"
"Json communication","sending requests to JSON Serice","SUCCESS","2016-06-10T15:33:09.622+03:00","0.0","1.26"
